ID,split,source,source_text,gemini_msa_detox,gemini_gulf_detox,gemini_levantine_detox,gemini_egyptian_detox
1,test,L-HSAB,ما سمعنا جعاركم مبارح علي القصف الاسرائيلي يلي اغتصب سماء سوريا نباح و عويل جيش ابو شحاطه وصل لقبرص,"لم نسمع تصريحاتكم أمس بخصوص القصف الإسرائيلي الذي انتهك الأجواء السورية، رغم أن ردود الفعل الصاخبة المعتادة من قواتكم معروفة بوصولها إلى قبرص.",ما سمعنا لكم أي صوت أو استنكار أمس على القصف الإسرائيلي اللي طال الأجواء السورية. لكن نشوف الضجيج والصياح من بعض الأطراف وصل لقبرص.,وين كان صوتكم مبارح على القصف الإسرائيلي اللي انتهك سيادة الأجواء السورية؟ صوتكم العالي اللي بيوصل لقبرص ما سمعناه.,مسمعناش أي تعليق منكم امبارح بخصوص القصف الإسرائيلي اللي اخترق السيادة السورية. لكن شوفنا اعتراضاتكم الشديدة وصوتكم العالي لما القوات التركية وصلت لقبرص.
2,train,L-HSAB,يا عيبو عليكي يا ايران عم تحوي ارهابيين تعلمي من السعوديه درسيهم عندك وبعتيهم لبرا,"من المؤسف جداً أن تقوم إيران بإيواء أشخاص متورطين في الإرهاب، وكان أولى بها أن تتعلم من تجارب الدول الأخرى في التعامل مع هؤلاء وإبعادهم عن أراضيها.","يا عيب الشوم عليكي يا إيران! تأوين الإرهابيين وتدعمينهم، وتصدرينهم برا. المفروض تتعلمين من السعودية كيف تتعامل مع الإرهاب.","بصراحة يا إيران، الواحد بيستغرب من سياستك باستضافة جماعات إرهابية. يا ريت تتعلمي من السعودية كيف تتعاملي معهم بجدية وتمنعي خطرهم.","يا إيران، بصراحة، ده أمر مؤسف إنك بتستضيفي جماعات إرهابية. يا ريت تتعلمي من السعودية في طريقة التعامل معاهم، وتحاولي تصلحي فكرهم أو تطرديهم بره بلدك."
3,train,L-HSAB,لا كل الثواار كلاب متل النظام هيك جمله سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف,"من السهل القول إن جميع الثوار لا يختلفون عن النظام، فهذه العبارة توفر راحة من عناء التفكير والتعقيد. إذا كان الجميع سيئين، فلماذا أهتم أو أدعم أي طرف؟","يا أخي، جملة ""كل الثوار والنظام كلهم ما يفرقون عن بعض"" جملة سهلة ومريحة، وتريحك من عوار الراس والتفكير الزايد. دام كلهم كذا، وش له أتعب نفسي وأدعم أي طرف؟","بصراحة، لما الواحد يحكي إنه الثوار والنظام كلهم نفس الطينة، هاي جملة بتريح الواحد من كتير وجع راس وتفكير. إذا الكل هيك، ليش الواحد يتعب حاله ويهتم أو يدعم أي طرف؟","لأ، الثوار والنظام كلهم في الهوا سوا. دي جملة سهلة تتقال ومبتوجعش الدماغ وبتريحك من تفكير كتير. طالما كلهم زي بعض، ليه اهتم أو أدعم طرف؟"
4,dev,L-HSAB,اذا جبران باسيل يقودكم والجاهل شيخ الجاهليه يصفق للقرد اكيد بيكون ي,"إذا كان جبران باسيل هو من يقودكم، وهناك من يصفق له دون وعي أو تفكير، فإن النتيجة ستكون كارثية بلا شك.","إذا جبران باسيل يقودكم، واللي ما عنده وعي يصفق للي ما يسوى، أكيد بتضيعون.","إذا جبران باسيل هو اللي ماشي فيكم، وإذا فيه حدا بيشجع على نهج ما فيه حكمة وبيصفق للي ما بستاهل، أكيد بتكونوا رايحين لمطرح مش منيح.","لو جبران باسيل هو اللي بيقودكم، والشخص اللي فكره محدود بيأيد أي حد من غير وعي، أكيد الأمور مش هتكون في صالحكم."
5,train,L-HSAB,فهمتوا يا حقودين يا جماعه الحركه,"هل فهمتم، يا أعضاء الحركة، رغم منظوركم المتحيز؟",أكيد فهمتوا وش السالفة يا جماعة الحركة.,"فهمتوا الحركة، يا اللي كنتوا بتتحاملوا عليها؟","فهمتوا الحركة يا جماعة، يا اللي كنتوا بتعارضوا؟"
6,train,L-HSAB,خليك بي الجاهليه لانو ما الك الي الجهل تبعك قطر ام العرب وام لبنان وستبقي قطر والخليج اسيادك يا فار من العداله,"يبدو أنك تختار البقاء في حالة من الجهل وعدم الفهم. قطر هي مهد العرب وأم لبنان، وستبقى قطر ودول الخليج القوة القائدة لك يا من تتهرب من وجه العدالة.","يمكن البعض يفضل يتمسك بآراء ما تتماشى مع التطورات الحالية. لكن قطر لها مكانتها الكبيرة كـ 'أم العرب' و 'أم لبنان'، وهي والخليج بيظلون أصحاب كلمة وتأثير. أما اللي يفضل يتهرب من مواجهة الحقائق والمساءلة، فمصيره معروف.","شكلك لسا متمسك بآراء قديمة وما إلها أساس. قطر هي أم العرب وأم لبنان، وراح تضل قطر ودول الخليج أصحاب نفوذ وتأثير كبير عليك، يا من تتجنب مواجهة المساءلة.","خليك في أفكارك اللي مش بتتقدم دي، واضح إنك مش حابب تفهم. قطر هتفضل ليها مكانتها ودورها الكبير عند العرب ولبنان، والخليج كله ليه وزنه ودوره اللي ميتنكرش. ياريت تواجه الحقائق ومتهربش من أي مسؤولية."
7,train,L-HSAB,ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك,"لا توجد لدينا حانات، للأسف. الحانات موجودة في بلدكم، ويقوم بتنظيمها سكانه.","يا أخي، الحمد لله، هالأمور اللي تتكلم عنها ما هي عندنا. يمكن تلقاها منتشرة أكثر في بلدكم، ويمكن تشوفونها شيء عادي عندكم.","إحنا ما عنا بارات للأسف. البارات ببلدك، وهناك بتلاقي بنات بلدك، ومن ضمنهم انتي وأمك، الهم دور فيها.","إحنا للأسف معندناش بارات. الأماكن دي غالبًا بتكون موجودة في بلدك، وبتكونوا انتوا أكتر ناس على دراية بطبيعة إدارتها أو التعامل معاها في محيطكم."
8,test,L-HSAB,الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعيه من بلدنا ليرجعوا النازحين يلي احتليتوا اراضيهم وهجرتون يا مجرمين,"جبران باسيل، نطالب بالعمل على إخراج حزب الله والفصائل الشيعية المسلحة من بلادنا، لتمكين عودة النازحين الذين احتلت تلك الفصائل أراضيهم وهجرتهم.","يا جبران باسيل، المفروض منك تطلع حزب الله والجماعات المسلحة من الأراضي اللي احتلوها، عشان يرجعون النازحين اللي تهجروا من ديارهم.","جبران باسيل، يا ريت تشتغل على إخراج حزب الله والمليشيات المسلحة من بلدنا، عشان يرجعوا أهلنا النازحين لأراضيهم اللي انتم مسؤولين عن تهجيرهم منها واحتلالها.","يا جبران باسيل، لازم تشتغل على إخراج حزب الله والميليشيات المسلحة من بلدنا. ده عشان النازحين يقدروا يرجعوا لأراضيهم اللي احتليتوها وهجرتوهم منها، ودي أفعال إجرامية."
9,train,L-HSAB,عايشين علي اشحاته هذا طبع اشيعه يعشون مرتزقه,الشيعة يعتمدون على المساعدات المالية الخارجية ويعملون كأدوات مأجورة.,"بعض الجهات عايشة على الاتكال على غيرها، وهذي طبيعة اللي ما عندهم مبدأ إلا المصلحة.","بعض الجهات بتعتمد بشكل كبير على الدعم الخارجي، وبتتصرف بطريقة بتوحي إنها بتخدم مصالح معينة مقابل مكاسب.","اعتمادهم الكلي على المساعدات اللي بتجيلهم من بره، وده أسلوب حياة عند فئات معينة، تصرفاتهم كلها مرتبطة بمقابل مادي."
10,train,L-HSAB,اخرس يا ايها النجس الخنزير الديوث انت وبشار الكيماوي وحزب الشيطان والمجوس الي مزبله التاريخ,"التزم الصمت، فالمستقبل سيتجاوز ويلقي بممارساتك وممارسات بشار الأسد المتهم باستخدام الكيماوي، وجماعة حزب الله وحلفائهم، إلى الهامش والتاريخ.","أنت وكل من يتبنى هالأفكار، ومعاكم بشار الأسد ونظامه، وحزب الله اللي أفعاله تضر الأمة، والنظام الإيراني وأتباعه، كلكم مصيركم مزبلة التاريخ.","يا ريت لو تراجع مواقفك، لأنها بصراحة مرفوضة تماماً. أنت واللي بتدعم بشار الكيماوي، وحزب الله، والنظام الإيراني، مصيركم لمزبله التاريخ.","يا اللي بتدافع عن بشار الكيماوي، وحزب الشيطان، والنظام الإيراني، كلامك مرفوض ومصيرك معاهم لمزبلة التاريخ."
