ID,split,source,source_text,gpt_msa_detox,gpt_gulf_detox,gpt_levantine_detox,gpt_egyptian_detox,gemini_msa_detox,gemini_gulf_detox,gemini_levantine_detox,gemini_egyptian_detox
1,test,L-HSAB,ما سمعنا جعاركم مبارح علي القصف الاسرائيلي يلي اغتصب سماء سوريا نباح و عويل جيش ابو شحاطه وصل لقبرص,"ما سمعنا منكم أي موقف أو اعتراض واضح على القصف الإسرائيلي الذي انتهك الأجواء السورية، رغم أنكم ترفعون أصواتكم في قضايا أخرى.",ما سمعنا أصواتكم أمس عن القصف الإسرائيلي اللي انتهك سماء سوريا. وينه ضجيج جيش أبو شحاطة اللي طول عمره يرفع الشعارات؟,ما سمعنا صوتكم مبارح عن القصف الإسرائيلي اللي انتهك سماء سوريا. وين ضجيج جيش أبو شحاطة اللي دايم يرفع شعارات؟,ما سمعنا صوتكم امبارح عن القصف الإسرائيلي اللي انتهك سماء سوريا. فين دوشة جيش أبو شحاطة اللي طول عمره شعارات وبس؟,"لم نسمع تصريحاتكم أمس بخصوص القصف الإسرائيلي الذي انتهك الأجواء السورية، رغم أن ردود الفعل الصاخبة المعتادة من قواتكم معروفة بوصولها إلى قبرص.",ما سمعنا لكم أي صوت أو استنكار أمس على القصف الإسرائيلي اللي طال الأجواء السورية. لكن نشوف الضجيج والصياح من بعض الأطراف وصل لقبرص.,وين كان صوتكم مبارح على القصف الإسرائيلي اللي انتهك سيادة الأجواء السورية؟ صوتكم العالي اللي بيوصل لقبرص ما سمعناه.,مسمعناش أي تعليق منكم امبارح بخصوص القصف الإسرائيلي اللي اخترق السيادة السورية. لكن شوفنا اعتراضاتكم الشديدة وصوتكم العالي لما القوات التركية وصلت لقبرص.
2,train,L-HSAB,يا عيبو عليكي يا ايران عم تحوي ارهابيين تعلمي من السعوديه درسيهم عندك وبعتيهم لبرا,"يا إيران، من المؤسف أنكم تستضيفون جماعات متطرفة، وكان من الأفضل التعامل معها كما تفعل دول أخرى ثم إبعادها عن المنطقة.","عيب يا ايران، ليش تحوين متطرفين؟ خذي موقف واضح، علميهم عندك وارسليهم برّا بدل ما تخلينهم يأذون الناس.","عيب يا ايران، ليش بتحتضني متطرفين؟ خدي موقف واضح، علميهم عندك وابعتيهم لبرا بدل ما يضروا الناس.","عيب يا ايران، ليه بتحتضني متطرفين؟ خدي موقف واضح، علميهم عندك وابعتّيهم بره بدل ما يأذوا الناس.","من المؤسف جداً أن تقوم إيران بإيواء أشخاص متورطين في الإرهاب، وكان أولى بها أن تتعلم من تجارب الدول الأخرى في التعامل مع هؤلاء وإبعادهم عن أراضيها.","يا عيب الشوم عليكي يا إيران! تأوين الإرهابيين وتدعمينهم، وتصدرينهم برا. المفروض تتعلمين من السعودية كيف تتعامل مع الإرهاب.","بصراحة يا إيران، الواحد بيستغرب من سياستك باستضافة جماعات إرهابية. يا ريت تتعلمي من السعودية كيف تتعاملي معهم بجدية وتمنعي خطرهم.","يا إيران، بصراحة، ده أمر مؤسف إنك بتستضيفي جماعات إرهابية. يا ريت تتعلمي من السعودية في طريقة التعامل معاهم، وتحاولي تصلحي فكرهم أو تطرديهم بره بلدك."
3,train,L-HSAB,لا كل الثواار كلاب متل النظام هيك جمله سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف,"وصف جميع الثوار بأنهم مثل النظام مجرد تبسيط مريح للأمور، لكنه لا يساعد على فهم الواقع أو اتخاذ موقف منصف.","لا مو كل الثوار سيئين مثل النظام. الجملة هذي سهلة تنقال وما تتعب، وتريحك من كثير وجع راس وتفكير. بس تعميم الكل سيئين يخليك ما تهتم ولا تدعم أي طرف، وهذا غلط.","لا مش كل الثوار سيئين متل النظام. هيك جملة سهلة تنقال وما بتوجع الراس وبتريحك من كتير تعب وتفكير. بس تحط الكل بسلة وحدة بتخليك ما تهتم ولا تدعم أي طرف، وهاد اشي غلط.","لأ مش كل الثوار وحشين زي النظام. الجملة دي سهلة تتقال ومش بتوجع دماغ وبتريحك من وجع دماغ وتفكير كتير. بس لما تعمم وتقول الكل وحشين، ساعتها مش هتهتم ولا هتدعم أي طرف، وده غلط.","من السهل القول إن جميع الثوار لا يختلفون عن النظام، فهذه العبارة توفر راحة من عناء التفكير والتعقيد. إذا كان الجميع سيئين، فلماذا أهتم أو أدعم أي طرف؟","يا أخي، جملة ""كل الثوار والنظام كلهم ما يفرقون عن بعض"" جملة سهلة ومريحة، وتريحك من عوار الراس والتفكير الزايد. دام كلهم كذا، وش له أتعب نفسي وأدعم أي طرف؟","بصراحة، لما الواحد يحكي إنه الثوار والنظام كلهم نفس الطينة، هاي جملة بتريح الواحد من كتير وجع راس وتفكير. إذا الكل هيك، ليش الواحد يتعب حاله ويهتم أو يدعم أي طرف؟","لأ، الثوار والنظام كلهم في الهوا سوا. دي جملة سهلة تتقال ومبتوجعش الدماغ وبتريحك من تفكير كتير. طالما كلهم زي بعض، ليه اهتم أو أدعم طرف؟"
4,dev,L-HSAB,اذا جبران باسيل يقودكم والجاهل شيخ الجاهليه يصفق للقرد اكيد بيكون ي,"إذا كان جبران باسيل يقودكم وهذه الشخصيات تدعمه، فمن الطبيعي أن تكون هناك تساؤلات حول توجهاتكم.","اذا جبران باسيل يقودكم والشيخ اللي ينتهج نهج الجاهلية يصفق لشخص ما يستاهل، طبيعي تكون النتيجة معروفة.","اذا جبران باسيل عم يقودكم والشيخ اللي ماشي بعقلية جاهلية عم يصفق لحدا ما بيستاهل، فطبيعي تكون النتيجة معروفة.","لو جبران باسيل هو اللي بيقودكم والشيخ اللي ماشي بعقلية جاهلية بيصقف لحد مش مستاهل، يبقى النتيجة معروفة.","إذا كان جبران باسيل هو من يقودكم، وهناك من يصفق له دون وعي أو تفكير، فإن النتيجة ستكون كارثية بلا شك.","إذا جبران باسيل يقودكم، واللي ما عنده وعي يصفق للي ما يسوى، أكيد بتضيعون.","إذا جبران باسيل هو اللي ماشي فيكم، وإذا فيه حدا بيشجع على نهج ما فيه حكمة وبيصفق للي ما بستاهل، أكيد بتكونوا رايحين لمطرح مش منيح.","لو جبران باسيل هو اللي بيقودكم، والشخص اللي فكره محدود بيأيد أي حد من غير وعي، أكيد الأمور مش هتكون في صالحكم."
5,train,L-HSAB,فهمتوا يا حقودين يا جماعه الحركه,فهمتم الآن يا جماعة الحركة أم ما زلتم ترفضون الاعتراف بالواقع؟,فهمتوا يا جماعة الحركة؟,فهمتوا يا جماعة الحركة؟,فهمتوا يا جماعة الحركة؟,"هل فهمتم، يا أعضاء الحركة، رغم منظوركم المتحيز؟",أكيد فهمتوا وش السالفة يا جماعة الحركة.,"فهمتوا الحركة، يا اللي كنتوا بتتحاملوا عليها؟","فهمتوا الحركة يا جماعة، يا اللي كنتوا بتعارضوا؟"
6,train,L-HSAB,خليك بي الجاهليه لانو ما الك الي الجهل تبعك قطر ام العرب وام لبنان وستبقي قطر والخليج اسيادك يا فار من العداله,"ابقَ متمسكاً بأفكارك إن شئت، لكن لا يمكن إنكار مكانة قطر ودورها في المنطقة من وجهة نظر كثيرين.","اذا عاجبك تبقى على هالجهل فهذي مشكلتك. قطر ام العرب وام لبنان، وبتبقى قطر والخليج فوق راسك، وانت فار من العدالة.","اذا بدك تضل بهالعقلية فهذا قرارك. قطر ام العرب وام لبنان، وبتضل قطر والخليج فوق راسك، وانت فار من العدالة.","لو عايز تفضل على نفس الجهل دي حريتك. قطر ام العرب وام لبنان، وهتفضل قطر والخليج فوق راسك، وانت فار من العدالة.","يبدو أنك تختار البقاء في حالة من الجهل وعدم الفهم. قطر هي مهد العرب وأم لبنان، وستبقى قطر ودول الخليج القوة القائدة لك يا من تتهرب من وجه العدالة.","يمكن البعض يفضل يتمسك بآراء ما تتماشى مع التطورات الحالية. لكن قطر لها مكانتها الكبيرة كـ 'أم العرب' و 'أم لبنان'، وهي والخليج بيظلون أصحاب كلمة وتأثير. أما اللي يفضل يتهرب من مواجهة الحقائق والمساءلة، فمصيره معروف.","شكلك لسا متمسك بآراء قديمة وما إلها أساس. قطر هي أم العرب وأم لبنان، وراح تضل قطر ودول الخليج أصحاب نفوذ وتأثير كبير عليك، يا من تتجنب مواجهة المساءلة.","خليك في أفكارك اللي مش بتتقدم دي، واضح إنك مش حابب تفهم. قطر هتفضل ليها مكانتها ودورها الكبير عند العرب ولبنان، والخليج كله ليه وزنه ودوره اللي ميتنكرش. ياريت تواجه الحقائق ومتهربش من أي مسؤولية."
7,train,L-HSAB,ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك,"ليس لدينا هذه الظواهر، وإذا كانت موجودة في بلدك فلا داعي لتعميمها أو تحميل الآخرين مسؤوليتها.","ماعندنا بارات، للأسف البارات عندكم وأنتم اللي تنظمونها هناك.","ما عنا بارات، للأسف البارات ببلدكم وإنتو اللي بتنظموها هناك.","إحنا ما عندنا بارات، للأسف البارات عندكم وإنتو اللي بتنظموها هناك.","لا توجد لدينا حانات، للأسف. الحانات موجودة في بلدكم، ويقوم بتنظيمها سكانه.","يا أخي، الحمد لله، هالأمور اللي تتكلم عنها ما هي عندنا. يمكن تلقاها منتشرة أكثر في بلدكم، ويمكن تشوفونها شيء عادي عندكم.","إحنا ما عنا بارات للأسف. البارات ببلدك، وهناك بتلاقي بنات بلدك، ومن ضمنهم انتي وأمك، الهم دور فيها.","إحنا للأسف معندناش بارات. الأماكن دي غالبًا بتكون موجودة في بلدك، وبتكونوا انتوا أكتر ناس على دراية بطبيعة إدارتها أو التعامل معاها في محيطكم."
8,test,L-HSAB,الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعيه من بلدنا ليرجعوا النازحين يلي احتليتوا اراضيهم وهجرتون يا مجرمين,"يا جبران باسيل، المطلوب إخراج الميليشيات من البلد وتمكين النازحين من العودة إلى أراضيهم التي هُجّروا منها.","جبران باسيل، طلع حزب الله والمليشيات الشيعية من بلدنا عشان يرجعوا النازحين لأراضيهم اللي انحرمتوا منها وتهجّروا بسبب سياساتكم يا مسؤولين عن هالخراب.","جبران باسيل، طلع حزب الله والمليشيات الشيعية من بلدنا عشان يرجعوا النازحين لأراضيهم اللي انحرمتوا منها وتهجروا بسبب سياساتكم يا مسؤولين عن هالدمار.","جبران باسيل، طلع حزب الله والميليشيات الشيعية من بلدنا عشان يرجعوا النازحين لأراضيهم اللي اترفدوا منها واتهجروا بسبب سياساتكم يا مسؤولين عن الخراب ده.","جبران باسيل، نطالب بالعمل على إخراج حزب الله والفصائل الشيعية المسلحة من بلادنا، لتمكين عودة النازحين الذين احتلت تلك الفصائل أراضيهم وهجرتهم.","يا جبران باسيل، المفروض منك تطلع حزب الله والجماعات المسلحة من الأراضي اللي احتلوها، عشان يرجعون النازحين اللي تهجروا من ديارهم.","جبران باسيل، يا ريت تشتغل على إخراج حزب الله والمليشيات المسلحة من بلدنا، عشان يرجعوا أهلنا النازحين لأراضيهم اللي انتم مسؤولين عن تهجيرهم منها واحتلالها.","يا جبران باسيل، لازم تشتغل على إخراج حزب الله والميليشيات المسلحة من بلدنا. ده عشان النازحين يقدروا يرجعوا لأراضيهم اللي احتليتوها وهجرتوهم منها، ودي أفعال إجرامية."
9,train,L-HSAB,عايشين علي اشحاته هذا طبع اشيعه يعشون مرتزقه,أرى أن بعض الجهات تعيش على الدعم الخارجي وتعتمد عليه بشكل كبير في استمرارها.,"عايشين على الاستغلال، هذا طبع جماعة دايم يتصرفون كأنهم مرتزقة.","عايشين على الاستغلال، هاد طبع جماعة دايم بتصرفوا كأنهم مرتزقة.","عايشين على الاستغلال، ده طبع جماعة دايم بيتصرفوا كأنهم مرتزقة.",الشيعة يعتمدون على المساعدات المالية الخارجية ويعملون كأدوات مأجورة.,"بعض الجهات عايشة على الاتكال على غيرها، وهذي طبيعة اللي ما عندهم مبدأ إلا المصلحة.","بعض الجهات بتعتمد بشكل كبير على الدعم الخارجي، وبتتصرف بطريقة بتوحي إنها بتخدم مصالح معينة مقابل مكاسب.","اعتمادهم الكلي على المساعدات اللي بتجيلهم من بره، وده أسلوب حياة عند فئات معينة، تصرفاتهم كلها مرتبطة بمقابل مادي."
10,train,L-HSAB,اخرس يا ايها النجس الخنزير الديوث انت وبشار الكيماوي وحزب الشيطان والمجوس الي مزبله التاريخ,أنت وبشار الأسد وحلفاؤه تتحملون مسؤولية سياسات يعتبرها كثيرون من أسوأ ما شهدته المنطقة.,اسكتوا انتو وبشار الكيماوي وحزب الشيطان والمجوس إلى مزبلة التاريخ,سكّتوا انتو وبشار الكيماوي وحزب الشيطان والمجوس ع مزبلة التاريخ,اسكتوا انتو وبشار الكيماوي وحزب الشيطان والمجوس على مزبلة التاريخ,"التزم الصمت، فالمستقبل سيتجاوز ويلقي بممارساتك وممارسات بشار الأسد المتهم باستخدام الكيماوي، وجماعة حزب الله وحلفائهم، إلى الهامش والتاريخ.","أنت وكل من يتبنى هالأفكار، ومعاكم بشار الأسد ونظامه، وحزب الله اللي أفعاله تضر الأمة، والنظام الإيراني وأتباعه، كلكم مصيركم مزبلة التاريخ.","يا ريت لو تراجع مواقفك، لأنها بصراحة مرفوضة تماماً. أنت واللي بتدعم بشار الكيماوي، وحزب الله، والنظام الإيراني، مصيركم لمزبله التاريخ.","يا اللي بتدافع عن بشار الكيماوي، وحزب الشيطان، والنظام الإيراني، كلامك مرفوض ومصيرك معاهم لمزبلة التاريخ."
