ID,split,source,source_text,gpt_msa_detox,gpt_gulf_detox,gpt_levantine_detox,gpt_egyptian_detox
1,test,L-HSAB,ما سمعنا جعاركم مبارح علي القصف الاسرائيلي يلي اغتصب سماء سوريا نباح و عويل جيش ابو شحاطه وصل لقبرص,"ما سمعنا منكم أي موقف أو اعتراض واضح على القصف الإسرائيلي الذي انتهك الأجواء السورية، رغم أنكم ترفعون أصواتكم في قضايا أخرى.",ما سمعنا أصواتكم أمس عن القصف الإسرائيلي اللي انتهك سماء سوريا. وينه ضجيج جيش أبو شحاطة اللي طول عمره يرفع الشعارات؟,ما سمعنا صوتكم مبارح عن القصف الإسرائيلي اللي انتهك سماء سوريا. وين ضجيج جيش أبو شحاطة اللي دايم يرفع شعارات؟,ما سمعنا صوتكم امبارح عن القصف الإسرائيلي اللي انتهك سماء سوريا. فين دوشة جيش أبو شحاطة اللي طول عمره شعارات وبس؟
2,train,L-HSAB,يا عيبو عليكي يا ايران عم تحوي ارهابيين تعلمي من السعوديه درسيهم عندك وبعتيهم لبرا,"يا إيران، من المؤسف أنكم تستضيفون جماعات متطرفة، وكان من الأفضل التعامل معها كما تفعل دول أخرى ثم إبعادها عن المنطقة.","عيب يا ايران، ليش تحوين متطرفين؟ خذي موقف واضح، علميهم عندك وارسليهم برّا بدل ما تخلينهم يأذون الناس.","عيب يا ايران، ليش بتحتضني متطرفين؟ خدي موقف واضح، علميهم عندك وابعتيهم لبرا بدل ما يضروا الناس.","عيب يا ايران، ليه بتحتضني متطرفين؟ خدي موقف واضح، علميهم عندك وابعتّيهم بره بدل ما يأذوا الناس."
3,train,L-HSAB,لا كل الثواار كلاب متل النظام هيك جمله سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف,"وصف جميع الثوار بأنهم مثل النظام مجرد تبسيط مريح للأمور، لكنه لا يساعد على فهم الواقع أو اتخاذ موقف منصف.","لا مو كل الثوار سيئين مثل النظام. الجملة هذي سهلة تنقال وما تتعب، وتريحك من كثير وجع راس وتفكير. بس تعميم الكل سيئين يخليك ما تهتم ولا تدعم أي طرف، وهذا غلط.","لا مش كل الثوار سيئين متل النظام. هيك جملة سهلة تنقال وما بتوجع الراس وبتريحك من كتير تعب وتفكير. بس تحط الكل بسلة وحدة بتخليك ما تهتم ولا تدعم أي طرف، وهاد اشي غلط.","لأ مش كل الثوار وحشين زي النظام. الجملة دي سهلة تتقال ومش بتوجع دماغ وبتريحك من وجع دماغ وتفكير كتير. بس لما تعمم وتقول الكل وحشين، ساعتها مش هتهتم ولا هتدعم أي طرف، وده غلط."
4,dev,L-HSAB,اذا جبران باسيل يقودكم والجاهل شيخ الجاهليه يصفق للقرد اكيد بيكون ي,"إذا كان جبران باسيل يقودكم وهذه الشخصيات تدعمه، فمن الطبيعي أن تكون هناك تساؤلات حول توجهاتكم.","اذا جبران باسيل يقودكم والشيخ اللي ينتهج نهج الجاهلية يصفق لشخص ما يستاهل، طبيعي تكون النتيجة معروفة.","اذا جبران باسيل عم يقودكم والشيخ اللي ماشي بعقلية جاهلية عم يصفق لحدا ما بيستاهل، فطبيعي تكون النتيجة معروفة.","لو جبران باسيل هو اللي بيقودكم والشيخ اللي ماشي بعقلية جاهلية بيصقف لحد مش مستاهل، يبقى النتيجة معروفة."
5,train,L-HSAB,فهمتوا يا حقودين يا جماعه الحركه,فهمتم الآن يا جماعة الحركة أم ما زلتم ترفضون الاعتراف بالواقع؟,فهمتوا يا جماعة الحركة؟,فهمتوا يا جماعة الحركة؟,فهمتوا يا جماعة الحركة؟
6,train,L-HSAB,خليك بي الجاهليه لانو ما الك الي الجهل تبعك قطر ام العرب وام لبنان وستبقي قطر والخليج اسيادك يا فار من العداله,"ابقَ متمسكاً بأفكارك إن شئت، لكن لا يمكن إنكار مكانة قطر ودورها في المنطقة من وجهة نظر كثيرين.","اذا عاجبك تبقى على هالجهل فهذي مشكلتك. قطر ام العرب وام لبنان، وبتبقى قطر والخليج فوق راسك، وانت فار من العدالة.","اذا بدك تضل بهالعقلية فهذا قرارك. قطر ام العرب وام لبنان، وبتضل قطر والخليج فوق راسك، وانت فار من العدالة.","لو عايز تفضل على نفس الجهل دي حريتك. قطر ام العرب وام لبنان، وهتفضل قطر والخليج فوق راسك، وانت فار من العدالة."
7,train,L-HSAB,ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك,"ليس لدينا هذه الظواهر، وإذا كانت موجودة في بلدك فلا داعي لتعميمها أو تحميل الآخرين مسؤوليتها.","ماعندنا بارات، للأسف البارات عندكم وأنتم اللي تنظمونها هناك.","ما عنا بارات، للأسف البارات ببلدكم وإنتو اللي بتنظموها هناك.","إحنا ما عندنا بارات، للأسف البارات عندكم وإنتو اللي بتنظموها هناك."
8,test,L-HSAB,الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعيه من بلدنا ليرجعوا النازحين يلي احتليتوا اراضيهم وهجرتون يا مجرمين,"يا جبران باسيل، المطلوب إخراج الميليشيات من البلد وتمكين النازحين من العودة إلى أراضيهم التي هُجّروا منها.","جبران باسيل، طلع حزب الله والمليشيات الشيعية من بلدنا عشان يرجعوا النازحين لأراضيهم اللي انحرمتوا منها وتهجّروا بسبب سياساتكم يا مسؤولين عن هالخراب.","جبران باسيل، طلع حزب الله والمليشيات الشيعية من بلدنا عشان يرجعوا النازحين لأراضيهم اللي انحرمتوا منها وتهجروا بسبب سياساتكم يا مسؤولين عن هالدمار.","جبران باسيل، طلع حزب الله والميليشيات الشيعية من بلدنا عشان يرجعوا النازحين لأراضيهم اللي اترفدوا منها واتهجروا بسبب سياساتكم يا مسؤولين عن الخراب ده."
9,train,L-HSAB,عايشين علي اشحاته هذا طبع اشيعه يعشون مرتزقه,أرى أن بعض الجهات تعيش على الدعم الخارجي وتعتمد عليه بشكل كبير في استمرارها.,"عايشين على الاستغلال، هذا طبع جماعة دايم يتصرفون كأنهم مرتزقة.","عايشين على الاستغلال، هاد طبع جماعة دايم بتصرفوا كأنهم مرتزقة.","عايشين على الاستغلال، ده طبع جماعة دايم بيتصرفوا كأنهم مرتزقة."
10,train,L-HSAB,اخرس يا ايها النجس الخنزير الديوث انت وبشار الكيماوي وحزب الشيطان والمجوس الي مزبله التاريخ,أنت وبشار الأسد وحلفاؤه تتحملون مسؤولية سياسات يعتبرها كثيرون من أسوأ ما شهدته المنطقة.,اسكتوا انتو وبشار الكيماوي وحزب الشيطان والمجوس إلى مزبلة التاريخ,سكّتوا انتو وبشار الكيماوي وحزب الشيطان والمجوس ع مزبلة التاريخ,اسكتوا انتو وبشار الكيماوي وحزب الشيطان والمجوس على مزبلة التاريخ
